ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
353205,202005,170,1110.0
353210,202005,312,1773.0
353215,202005,151,2120.0
353220,202005,123,807.0
353230,202005,367,859.0
353240,202005,1095,8764.0
353250,202005,349,2966.0
353260,202005,309,2475.0
353270,202005,289,3534.0
353280,202005,188,2148.0
353282,202005,938,7494.0
353284,202005,91,715.0
353286,202005,45,171.0
353290,202005,374,6459.0
353300,202005,690,7121.0
353310,202005,152,3237.0
353320,202005,320,5100.0
353325,202005,184,2595.0
353330,202005,151,2140.0
353340,202005,1046,13098.0
353350,202005,998,8976.0
353360,202005,253,3612.0
353370,202005,236,1419.0
353380,202005,118,2580.0
353390,202005,1753,27360.0
353400,202005,117,1621.0
353410,202005,236,1468.0
353420,202005,72,451.0
353430,202005,885,8692.0
353440,202005,26654,326288.0
353450,202005,111,1313.0
353460,202005,1204,13082.0
353470,202005,2887,29290.0
353475,202005,414,3852.0
353480,202005,770,9712.0
353490,202005,383,3135.0
353500,202005,455,2585.0
353510,202005,235,5158.0
353520,202005,365,2289.0
353530,202005,1098,9013.0
353540,202005,903,8369.0
353550,202005,2479,18730.0
353560,202005,734,4233.0
353570,202005,182,2035.0
353580,202005,844,9499.0
353590,202005,176,1263.0
353600,202005,631,3961.0
353610,202005,152,1434.0
353620,202005,865,5472.0
353625,202005,143,1368.0
353630,202005,520,4581.0
353640,202005,546,4619.0
353650,202005,2690,40432.0
353657,202005,94,401.0
353660,202005,478,2864.0
353670,202005,1734,20847.0
353680,202005,280,1809.0
353690,202005,42,328.0
353700,202005,957,19054.0
353710,202005,1070,20891.0
353715,202005,87,837.0
353720,202005,922,5444.0
353730,202005,1898,24392.0
353740,202005,685,3314.0
353750,202005,198,2459.0
353760,202005,4914,29254.0
353770,202005,115,563.0
353780,202005,2350,14525.0
353790,202005,818,3130.0
353800,202005,7247,44316.0
353810,202005,356,5921.0
353820,202005,534,4636.0
353830,202005,219,2158.0
353850,202005,621,2144.0
353860,202005,1164,13116.0
353870,202005,11549,152349.0
353880,202005,1154,13979.0
353890,202005,1001,11000.0
353900,202005,246,4196.0
353910,202005,1131,13781.0
353920,202005,574,3308.0
353930,202005,1452,20344.0
353940,202005,311,2010.0
353950,202005,1618,9979.0
353960,202005,229,1287.0
353970,202005,262,3683.0
353980,202005,6103,78611.0
353990,202005,230,4580.0
354000,202005,444,5300.0
354010,202005,149,1700.0
354020,202005,1536,13441.0
354025,202005,172,1563.0
354030,202005,102,2309.0
354040,202005,253,4476.0
354050,202005,282,1299.0
354060,202005,1091,12307.0
354070,202005,1193,12864.0
354075,202005,1140,8925.0
354080,202005,344,2320.0
354085,202005,170,2243.0
354090,202005,851,14719.0
354100,202005,6883,38669.0
354105,202005,431,7058.0
354110,202005,143,693.0
354120,202005,443,2656.0
354130,202005,955,4242.0
354140,202005,5804,62201.0
354150,202005,1187,9603.0
354160,202005,1100,10433.0
354165,202005,222,1435.0
354170,202005,669,10757.0
354180,202005,142,2066.0
354190,202005,437,2059.0
