CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município
Período:Abr/2024
"Município";"Quantidade_existente"
"230440 FORTALEZA";8551
"230445 FORTIM";17
"230450 FRECHEIRINHA";16
"230460 GENERAL SAMPAIO";13
"230470 GRANJA";58
"230480 GRANJEIRO";25
"230490 GROAIRAS";19
"230495 GUAIUBA";20
"230500 GUARACIABA DO NORTE";42
"230510 GUARAMIRANGA";11
"230520 HIDROLANDIA";40
"230523 HORIZONTE";71
"230526 IBARETAMA";21
"230530 IBIAPINA";50
"230533 IBICUITINGA";7
"230535 ICAPUI";16
"230540 ICO";103
"230550 IGUATU";291
"230560 INDEPENDENCIA";38
"230565 IPAPORANGA";18
"230570 IPAUMIRIM";26
"230580 IPU";151
"230590 IPUEIRAS";47
"230600 IRACEMA";33
"230610 IRAUCUBA";25
"230620 ITAICABA";17
"230625 ITAITINGA";38
"230630 ITAPAGE";43
"230640 ITAPIPOCA";183
"230650 ITAPIUNA";15
"230655 ITAREMA";44
"230670 JAGUARETAMA";27
"230680 JAGUARIBARA";26
"230690 JAGUARIBE";49
"230700 JAGUARUANA";38
"230710 JARDIM";49
"230720 JATI";33
"230725 JIJOCA DE JERICOACOARA";26
"230730 JUAZEIRO DO NORTE";559
"230740 JUCAS";51
"230750 LAVRAS DA MANGABEIRA";53
"230760 LIMOEIRO DO NORTE";210
"230763 MADALENA";24
"230765 MARACANAU";337
"230770 MARANGUAPE";104
"230780 MARCO";47
"230790 MARTINOPOLE";12
"230800 MASSAPE";34
"230810 MAURITI";54
"230820 MERUOCA";20
"230830 MILAGRES";50
"230835 MILHA";28
"230837 MIRAIMA";8
"230840 MISSAO VELHA";72
"230850 MOMBACA";45
"230860 MONSENHOR TABOSA";49
"230870 MORADA NOVA";180
"230880 MORAUJO";17
"230890 MORRINHOS";21
"230900 MUCAMBO";50
"230910 MULUNGU";9
"230920 NOVA OLINDA";20
"230930 NOVA RUSSAS";43
"230940 NOVO ORIENTE";27
"230945 OCARA";19
"230950 OROS";37
"230960 PACAJUS";52
"230970 PACATUBA";53
"230980 PACOTI";20
"231000 PALHANO";12
"231010 PALMACIA";16
"231020 PARACURU";41
"231025 PARAIPABA";25
"231030 PARAMBU";50
"231040 PARAMOTI";28
"231050 PEDRA BRANCA";49
"231060 PENAFORTE";22
"231070 PENTECOSTE";57
"231080 PEREIRO";25
"231085 PINDORETAMA";16
"231090 PIQUET CARNEIRO";30
"231095 PIRES FERREIRA";21
"231100 PORANGA";32
"231110 PORTEIRAS";24
"231120 POTENGI";18
"231123 POTIRETAMA";13
"231126 QUITERIANOPOLIS";31
"231130 QUIXADA";157
"231135 QUIXELO";32
"231140 QUIXERAMOBIM";322
"231150 QUIXERE";23
"231160 REDENCAO";58
"231170 RERIUTABA";28
"231180 RUSSAS";223
"231190 SABOEIRO";37
"231195 SALITRE";14
"231200 SANTANA DO ACARAU";40
"231210 SANTANA DO CARIRI";21
"231220 SANTA QUITERIA";53
"231230 SAO BENEDITO";81
"231240 SAO GONCALO DO AMARANTE";44
"231260 SAO LUIS DO CURU";22
"231270 SENADOR POMPEU";53
"231290 SOBRAL";863
"231300 SOLONOPOLE";33
"231310 TABULEIRO DO NORTE";81
"231320 TAMBORIL";59
"231325 TARRAFAS";16
"231330 TAUA";133
"231335 TEJUCUOCA";16
"231340 TIANGUA";98
"231350 TRAIRI";26
"231355 TURURU";13
"231360 UBAJARA";36
"231370 UMARI";21
"231375 UMIRIM";13
"231380 URUBURETAMA";25
"231390 URUOCA";21
"231395 VARJOTA";19
"231400 VARZEA ALEGRE";72
"231410 VICOSA DO CEARA";76
"240010 ACARI";43
"240020 ACU";67
